;tid;act;emotion;sentiment;text
1586;2017-En-10805;exp;['joy', 'optimism', 'trust'];positive;"Mm, okay. Ham for you and turkey for me.' Gives his hair a ruffle before heading back in the kitchen to set out the &gt;&gt;\n@DarkSithKenobi"
1587;2017-En-11126;sta;['anticipation', 'joy', 'optimism', 'sadness'];negative;So then it's my turn. Soon as he says hi I just burst into tears lmaoo I was so overwhelmed.
1588;2017-En-11601;exp;['anger', 'disgust'];negative;@interception225 you're looking for an argument that i'm not engaging in. He's not even speaking his own words, i'm not raging at him.
1589;2017-En-20500;sta;['anger', 'disgust', 'pessimism'];negative;I hate that if I don't start the conversation, there won't be one.
1590;2017-En-30185;exp;['joy', 'love', 'optimism'];positive;@reinervshunter you got this #staystrong #smile #yourebeautiful
1591;2017-En-40948;exp;['joy', 'optimism', 'trust'];positive;Not a great start but good comeback from the boys to earn a point. Bring on Saturday #blues
1592;2017-En-11293;oth;['anticipation', 'joy', 'optimism'];positive;.@Travelanswerman: B assured there is plenty of salt 2 keep that #fire #burning brightly! Stay #happy N life by keeping plenty #salty… …
1593;2017-En-40522;oth;['disgust', 'sadness'];negative;@JoaquinPutoAmo vas a ir al de the amaity affliction?
1594;2017-En-40529;sta;['anger', 'optimism', 'sadness'];negative;No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow #podcast #lost #editing #fail #tomorrow
1595;2017-En-20530;exp;['anger', 'anticipation', 'disgust', 'sadness'];negative;@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump
1596;2017-En-10214;exp;['anger', 'disgust'];negative;"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation"
1597;2017-En-31265;sta;['disgust', 'joy', 'pessimism', 'sadness'];negative;After this news I'm supposed to be so damn happy and rejoicing but I'm here like 😩😔😭😞
1598;2017-En-21466;exp;['joy', 'love', 'optimism'];positive;@carl_diggler @TMZ_Sports Thank you for saying what others are afraid to say, Carl. Big fan!
1599;2017-En-40634;sta;['anticipation', 'pessimism', 'sadness'];negative;need to sta dating again.I m bored #redheadteen #boldandbeautiful #lost #500aday single men dating Schkeuditz
1600;2017-En-20562;sta;['anger', 'disgust', 'sadness'];negative;@GSchwartz_ it wasn't a joke . #bully
1601;2017-En-21683;que;['anger', 'disgust', 'pessimism'];negative;@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?
1602;2017-En-21630;exp;['disgust', 'fear', 'pessimism', 'sadness'];negative;Watched the movie, friend request at 2am awhile ago in a dark cold night and it was one of the bad choices I've ever made. #nightmare 😰
1603;2017-En-31573;exp;['joy', 'optimism'];positive;Sanatana Lopez is definitely me 😂
1604;2017-En-30013;sta;['joy', 'love', 'optimism'];positive;My morning started off amazing!! Hopefully the whole day is going as i want it to go!\n #GreatDay
1605;2017-En-30178;sta;['joy'];positive;Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning... #glee #books #reading
1606;2017-En-41397;sta;['sadness'];negative;It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.
1607;2017-En-21858;sta;['anger', 'disgust', 'sadness'];negative;Body is sleepy but the mind is active. So sad... Have to get ready for work in 30 minutes. Damn! #restless
1608;2017-En-21441;sta;['anticipation', 'optimism', 'trust'];negative;“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry
1609;2017-En-20587;sta;['disgust', 'fear', 'pessimism'];negative;LMAO this person must hate me so bad to talk shit behind an anonymous account #awe /:
1610;2017-En-10097;sug;['anger', 'disgust', 'sadness'];negative;@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay
1611;2017-En-11529;sta;['anger', 'disgust'];negative;Now that the n word is normalized by the media? Just wow. No words for this . No. Words. For . This. Frog been boiling in the pot via media.
1612;2017-En-22239;exp;[];negative;Look for #contrasts....#behaviour may be a #camouflage....garments a #shell....a #bully may be a #baby inside.....' - Prof Caroline Taylor
1613;2017-En-10127;exp;['anger'];negative;I just love it when people make plans for me without actually including me in this process #rage
1614;2017-En-40468;exp;['anticipation', 'joy', 'optimism'];neutral;@AdamAaronovich Well, there's no need to sulk. You can always request a song, you know.
1615;2017-En-20978;sta;['anticipation', 'joy'];neutral;induction day tomorrow for pizza express
1616;2017-En-40694;sta;[];positive;Beats is accurately all-powerful with respect to high-quality high-frequency speaker in re the extra desolate relating to fire-ea:…
1617;2017-En-11631;oth;['anger', 'disgust'];negative;revenge
1618;2017-En-21086;exp;['joy', 'optimism'];positive;My mind always seems to work its best at night
1619;2017-En-40561;que;['anticipation', 'sadness'];negative;@TimewarpArcade @tenpencearcade Do you really have to pedal like a nutter to get anywhere? I remember it being more sedate.
1620;2017-En-30689;sta;['disgust'];negative;@honevbee close up shots of my ugly mug as I continue to talk about Blaine years after glee has been dead
1621;2017-En-40107;sta;['sadness'];negative;Don't wanna go to work but I want the money #sad
1622;2017-En-10951;exp;['anger', 'fear'];negative;@shae_caitlin ur road rage gives me anxiety.
1623;2017-En-30584;que;['joy', 'optimism'];positive;@FoRDaYS14 😳 chewing what? #smile #arcdental #turlock
1624;2017-En-20577;oth;['anger', 'disgust', 'pessimism'];negative;#WTF @NYSCHereToHelp @NYSC allows #gym #bully #atmosphere! #jumpship #nasty #atmosphere #unprofessional
1625;2017-En-11101;sta;['anger', 'disgust', 'joy', 'sadness'];negative;@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox 😅 I get raging migraines without coffee :/
1626;2017-En-10252;sta;['anger', 'disgust'];negative;"@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;)"
1627;2017-En-20289;oth;['fear'];negative;@PanicAtTheDisco hey, y'all announced it like immediately after I asked. Nice. Thanks y'all #panic
1628;2017-En-30571;sug;['joy', 'optimism'];positive;@finkowska just rejoice if you get paid for it.
1629;2017-En-31309;sta;['joy'];positive;"Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest #happy"
1630;2017-En-10414;exp;['anger', 'disgust'];negative;i can't believe they're all messing up my favourite of all bakes i feel personally offended
1631;2017-En-30087;sta;['joy'];positive;@Zerfash — can't wait.' She said cheerfully and grinned.
1632;2017-En-10696;exp;['anger', 'disgust', 'fear', 'pessimism', 'sadness'];negative;@LonelyGoomba I wouldn't bring this up if I were you. It's a very touchy subject. And people get way to offended these days
1633;2017-En-40930;sug;['optimism'];positive;"@TheBenNatan szn 3 &gt;&gt;&gt; szn 1 &gt;&gt;&gt; szn 2. Just to warn you. Don't let szn 2 discourage you."
1634;2017-En-41127;sta;['joy', 'love', 'optimism'];positive;sav tells our mom 'I love you' and she responds 'Oh.'
1635;2017-En-10276;exp;['anger', 'sadness'];negative;@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.
1636;2017-En-11005;exp;['anger'];negative;@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite
1637;2017-En-21233;sug;['anger', 'anticipation', 'disgust', 'pessimism'];negative;@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius
1638;2017-En-41454;oth;['disgust', 'fear', 'sadness'];negative;@macmacm43 jeezus God #dark
1639;2017-En-20882;sta;['disgust', 'optimism'];negative;@aIakazamjackass been better. It's really stupid don't worry
1640;2017-En-40297;sta;['sadness'];negative;Think Val might be going this week. I'll have to take the rest of the week off work to mourn. I'm sure they'll understand. #GBBO
1641;2017-En-22189;sta;['fear'];negative;I feel really nervous, or anxious. Idk. My leg keeps shaking. Hmm
1642;2017-En-30807;exp;['anger', 'disgust'];negative;"Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today."
1643;2017-En-11320;sta;['anger', 'disgust', 'trust'];negative;Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right
1644;2017-En-10229;exp;['anger', 'disgust'];negative;Absolutely raging at the changes to CAS, what a joke
1645;2017-En-21285;sta;['anger', 'disgust', 'sadness'];negative;When City Hall has the fire alarm go off and it's been 15 minutes and the fire department still isn't here
1646;2017-En-31606;sta;['anticipation', 'joy', 'love', 'optimism'];positive;@elevens_eggos_ 'El?' He turned around to her, smiling before hugging her gently.
1647;2017-En-30748;que;['anticipation'];negative;Who actually chooses to drink sparkling water 🤔
1648;2017-En-20149;que;['anger', 'disgust', 'fear'];negative;Pakistan is the biggest victim of terrorism - Nawaz Sharif \nReally? It should have been biggest creator of terrorism. #UNGA
1649;2017-En-40242;sta;['optimism', 'sadness'];positive;Let us not burden our remembrances with a heaviness that's gone.\n- William Shakespeare (1564-1616)\n#forge ahead.
1650;2017-En-40640;oth;[];positive;@xxnogard_G88 Welcome to the  dark honey !
1651;2017-En-20951;exp;['joy'];positive;@AlanAlanconway Same it's good but not great.Don't Breathe is the horror film of the month for me. My Fav horror film of the year (so far)
1652;2017-En-10698;sta;['joy', 'love'];positive;I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 #tiff
1653;2017-En-41181;exp;['disgust', 'pessimism', 'sadness'];negative;@ananavarro @tcarrels most of Trump supporters have not clue about the meaning of the words they used just like him #sad #nevertrump
1654;2017-En-30234;exp;['joy', 'optimism'];positive;In ever use to like smiling until I realized how good my teeth look ... Witout the braces
1655;2017-En-10241;sug;['anger', 'disgust'];negative;@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry
1656;2017-En-10953;exp;['anger'];negative;@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -
1657;2017-En-11498;sta;['anger', 'disgust'];negative;Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating. #rage #smrtruinslives
1658;2017-En-40460;sta;['fear'];negative;It's dark
1659;2017-En-40371;sta;['disgust', 'joy', 'pessimism', 'sadness'];negative;Don't wanna go to work but I want the money
1660;2017-En-41151;sta;['anticipation', 'optimism'];negative;We fear not the truth, even if it be gloomy, but its counterfeit.- Berl Katznelson
1661;2017-En-41317;sta;['anger', 'sadness'];negative;Sejejs says Cibulskis missed time in 3rd period due to an injury. Wouldn't comment on how serious it is. Apparently not a doctor.
1662;2017-En-20734;sta;['anger', 'disgust', 'fear', 'joy'];positive;... in the same speech.  However he did mention foreign hand and funding in terrorism in the country. 👍\n#ProudOfYouPrimeMinister
1663;2017-En-30408;sta;['joy', 'love', 'optimism'];positive;Watch this amazing live.ly broadcast by @__.mila.__ #lively #musically
1664;2017-En-11017;sug;['anger', 'pessimism'];negative;@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything
1665;2017-En-21295;sta;['anger', 'sadness'];negative;Time for some despair #SDR3 #despair #fuckthisanime
1666;2017-En-30647;exp;['anger', 'disgust', 'optimism'];positive;@JackCurryYES he's just lucky...bad pitchers...#WHATEVER...ElKracken is #legit #future  #gottawearshades #LetsGoYankees
1667;2017-En-10367;exp;['anger', 'surprise'];negative;.@LEAFYSZERKER @markiplier is that an insult? Sounds like a job well done. it's red so it's done the job it was suppose to do #justsaying
1668;2017-En-11140;sug;['anger', 'disgust', 'optimism'];negative;Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife
1669;2017-En-31482;exp;['joy', 'optimism'];positive;@JMRescue not brilliant lol! Hoping seeing my horse tomorrow will cheer me up 😄 #equestrianhour
1670;2017-En-30030;sta;['joy', 'love', 'optimism'];positive;Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed #rejoice
1671;2017-En-30372;sta;[];negative;@kevinmenzel annual reminder that i don't care and will cheerfully eat anything so labeled
1672;2017-En-30921;sta;['disgust', 'sadness'];negative;Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat
1673;2017-En-11573;sta;['anger'];negative;#Azerbaijan #Baku Azerbaijan to prevent another Armenian provocation in Russia
1674;2017-En-30862;sta;['joy', 'love'];positive;I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!
1675;2017-En-20782;sta;['anger', 'fear'];negative;"Was going to get a new #horror movie #tattoo tonight, but my artist flaked out on me for the 3rd time &amp; said he was done tattooing!"
1676;2017-En-40848;sta;[];negative;It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.
1677;2017-En-30253;sta;['joy', 'optimism', 'trust'];positive;@_stfukohle it's ok champ you'll make it I'm cheering you on from a far
1678;2017-En-20793;sug;['fear', 'joy', 'optimism', 'trust'];negative;Fear blocks blessings, faith unlocks them. #ManUp #fear #faith
1679;2017-En-41120;sta;['anticipation', 'joy', 'love', 'optimism', 'trust'];positive;My producer is mixing and mastering the songs now for #murky #notebook #mixtape\nThe tape will be out soon for free download 🔥🎶💨💯
1680;2017-En-10077;sta;['anger', 'disgust', 'sadness'];negative;What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5
1681;2017-En-20255;sta;['fear'];negative;Your boy' is having a nightmare @VivaLaSergio
1682;2017-En-20720;sta;['anger', 'disgust'];negative;@Cinestrong something a cyber bully would say
1683;2017-En-40895;exp;['sadness'];negative;My nephews n cousins are nowhere near bad guys, but they could be killed @ any moment by a cop that thought they were bc of their color #sad
1684;2017-En-21750;sta;['joy', 'optimism', 'trust'];positive;Think like a queen. A queen is not afraid to fail. Failure is another steppingstone to greatness. Oprah Winfrey
1685;2017-En-41461;sta;['joy', 'love', 'optimism', 'surprise'];neutral;".@WotzupCapeTown - thanks for sharing! Surprise guests! @HumanJurgen &amp; visiting US Tenor Sax @CunninghamColin. #livemusic #capetown #blues"
1686;2017-En-40379;que;['sadness'];negative;What day is it #lost
1687;2017-En-40765;oth;['joy', 'love'];positive;Good morning chirpy #SpringEquinox and your pensive sister #AutumnEquinox A perfect day however it is expressed 🌹🍁🌓☯️ #theBeautyofBalance
1688;2017-En-31346;oth;['joy', 'love', 'optimism'];positive;@reinervshunter you got this💙 #staystrong  #yourebeautiful
1689;2017-En-31088;exp;['joy'];positive;@wahrbear @marinarchy @diam0ndsapph1re There is some hilarity in someone who is literally openly anti-science calling others anti-science.
1690;2017-En-21346;sta;['sadness'];negative;penny dreadful just cleaved off a fraction of my heart
1691;2017-En-11617;sta;['anger', 'disgust'];negative;@Plasma_Assassin @ArmouredDove @BallsOnY0u N-no. Because of your wrath.
1692;2017-En-30064;que;['joy', 'optimism'];positive;Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs!
1693;2017-En-40555;sug;['optimism', 'trust'];negative;Don't get discouraged when simple minds don't see your vision
1694;2017-En-41323;sta;['fear', 'pessimism', 'sadness'];negative;Honestly don't know why I'm so unhappy most of the time. I just want it all to stop :(   #itnevergoes
1695;2017-En-41246;sta;['anger', 'pessimism', 'sadness'];negative;@hedgegirl I was only joking. I don't have any parents. 😈 #dark
1696;2017-En-21460;sta;['sadness'];negative;@yonahimes they never posted stuff like this?????\ni mean i was able to scroll over it so it wasnt a big deal but it was
1697;2017-En-30587;sta;['anticipation', 'joy'];neutral;@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.
1698;2017-En-30486;sta;['joy', 'optimism', 'trust'];positive;@JoshuaLenon I trust you know that I appreciate your willingness to explain the details, and my attempt at levity is just that. @bobambrogi
1699;2017-En-21107;sta;[];negative;"Not setting an alarm to nap &gt;&gt;"
1700;2017-En-30649;exp;['anger'];negative;Method into thin out assault corridor thine liveliness: cHd
1701;2017-En-10492;exp;['anger', 'disgust'];negative;the teams that face Barca and Bayern after a defeat are the ones who face the wrath
1702;2017-En-10183;sta;['anger', 'disgust'];negative;I can't even right now #bb18 #rage
1703;2017-En-41436;exp;['disgust', 'pessimism', 'sadness'];negative;Honestly today I just felt like maybe track isn't for me #sad
1704;2017-En-21623;exp;['disgust', 'sadness', 'surprise'];negative;@caIrissian take deep breaths bc the shaking could be from adrenaline. Oh wow that's weird. Depending if you're regular or not that varies-
1705;2017-En-21461;sta;['anger', 'disgust', 'fear', 'pessimism'];negative;@ducktapepr @midnightaction @juliea592 @catherinerusse2 I dread to think... #DirtyPeople
1706;2017-En-30440;sta;['joy', 'love'];positive;Queen Bey will be smiling over sixth this afternoon
1707;2017-En-30163;exp;['joy', 'love'];positive;It's a beautiful day today. Cloudy but sunny and breezy.
1708;2017-En-11575;sta;['anger', 'disgust'];negative;I heard Movie Bob was furious about the Skittles analogy. He was upset that there wasn't actually any Skittles.
1709;2017-En-41175;sta;['joy', 'love'];positive;I love when #girls are busy in teaching how to #pout while taking #selfie in a mall , their desication is immense #women love #perfection
1710;2017-En-21898;sta;['anger', 'disgust', 'fear'];negative;Arguing with these people doesn't work anyway, they just threaten to put you in death camps.
1711;2017-En-41531;sta;['joy', 'surprise'];neutral;I'm buying art supplies and I'm debating how serious is it to buy acrylic paint.
1712;2017-En-20406;sta;['anticipation', 'fear', 'optimism', 'sadness'];positive;Next month we'll be running overcoming #lowmood, overcoming #worry and improving #wellbeing courses in #Louth. Self refer on 0303 123 4000
1713;2017-En-30968;sta;['joy', 'love', 'optimism'];positive;Keep smiling :)
1714;2017-En-10295;sta;['fear', 'sadness'];negative;@SkyNews when the East wind blue in summer in Durban, S Africa, we still surfed and got #stung badly! Must be carefull-A #sting can harm you
1715;2017-En-20161;exp;['fear', 'pessimism', 'sadness'];negative;both afraid of all the same things
1716;2017-En-11514;exp;['anger'];negative;@iAmSJ I'm so mad for our clients I'm furious lmao
1717;2017-En-21659;sta;['anger', 'anticipation', 'disgust'];negative;Sixth Form: see you at 8:30 in the morning 🎭 #revolting children #yr7 #assembly 🎭
1718;2017-En-11594;sta;['joy', 'optimism'];positive;Changed my clothes at work and had my pre-workout..  In route to the gym and there is traffic all over - pre workout kicking in..
1719;2017-En-30646;sta;['disgust', 'joy'];positive;@AdamCimmering Boro are at the OS before then, they could give the stewards a good work out. Chelsea will get about 8k, will be lively.
1720;2017-En-11590;exp;['anger', 'disgust'];negative;Ive always wondered how long Angelina put up with Brad's crap. Not gon lie 😐
1721;2017-En-22122;exp;['joy', 'optimism', 'surprise'];positive;@noveliciouss OMG, that's such a beautiful quote.  #amwriting
1722;2017-En-41523;sta;['disgust'];negative;@ITdominiccoyle @IrishTimesBiz Between Barroso going to Goldman and this the @EU_Commission is getting a very serious self inflicted problem
1723;2017-En-10686;sta;['anticipation', 'joy', 'optimism'];negative;GAMEDAY VS BUFORD TODAY AT 5:30 AT HOME!!!!!!!!! NEVER BEEN SO EXCITED #revenge
1724;2017-En-11482;sta;['pessimism', 'sadness'];negative;Glad I didn't watch smackdown because I can't see my men @JasonJordanJJ @WWEGable lose. #sohurt
1725;2017-En-40167;exp;['anger', 'disgust', 'pessimism', 'sadness'];negative;I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18
1726;2017-En-30790;sta;['anticipation', 'disgust'];negative;@emilyycos the other 26 was last night at 2am while i watched the balls i animated bounce for 20 minutes figuring out what was wrong
1727;2017-En-20356;exp;['fear', 'pessimism'];negative;David's #anxiety is going to send him home. As someone who also suffers, learning to look normal is an essential coping skill. #survivor
1728;2017-En-20709;sug;['fear', 'joy', 'optimism', 'trust'];positive;Let's not panic. Beat NYG who's atop the division, come home against Cleveland. Just like that you're 2-2 with a division win
1729;2017-En-40837;exp;['sadness'];negative;@Virgin_TrainsEC I feel for the conductor tonight, he's obviously taken grief over the last few weeks, he sounds weary of apologising!
1730;2017-En-10825;exp;['disgust', 'sadness'];negative;@ezlisteningdisc it doesn't offend me but it's just,,, Weird.
1731;2017-En-21860;sta;['fear'];negative;@MLB @JoeyBats19 Sam Dyson is probably having flashbacks right about now. #nightmare
1732;2017-En-40163;sta;['disgust', 'pessimism', 'sadness'];negative;Hate knowing I have to get up at half 5 for gym in the morning it's so depressing
1733;2017-En-10788;exp;['love', 'sadness'];negative;@pbump @AndyRichter  My heart goes out to that woman for the indignity of what she is sitting through.
1734;2017-En-31493;exp;[];positive;"#PeopleLikeMeBecause of my razor wit &amp; sparkling personality"
1735;2017-En-40177;sta;['pessimism', 'sadness'];negative;I've returned from the dead with a desire to clean the apartment and eat something that isn't garbage. #managing #depression
1736;2017-En-10678;sug;['anger', 'disgust', 'optimism'];positive;@SonOfTheDovah *She could sense the anger stirring within him and took his hand in hers.* As long as we stay together, we'll both be safe.--
1737;2017-En-30187;sta;['anticipation', 'joy', 'love'];positive;Watch this amazing live.ly broadcast by @brooke_bridges  #musically
1738;2017-En-30200;exp;['joy', 'optimism'];positive;@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. #hilarious
1739;2017-En-30329;sta;['joy', 'optimism'];positive;Punchline king is back! @Paedeezy 🔥🔥🔥🔥🔥🔥🔥💯💯💯 #bright city lights
1740;2017-En-30098;sta;['joy', 'optimism'];positive;@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness  #happyme
1741;2017-En-10888;sta;['joy', 'sadness'];negative;The rage has died down.
1742;2017-En-10401;oth;['anger', 'disgust'];negative;"@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags"
1743;2017-En-41121;sta;['pessimism', 'sadness'];negative;I don't get that my parents literally don't see how unhappy I been lately
1744;2017-En-30859;sta;['surprise'];neutral;incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays
1745;2017-En-11429;sta;['anger', 'anticipation', 'joy', 'optimism'];negative;@SharadK7 awaiting to see ur new avataar #rowdy #action #angry young man
1746;2017-En-20855;exp;['disgust'];negative;@CestLouLeLoup okay, not dead, but if I were, I'd come back to lovingly haunt your sweet asses
1747;2017-En-21207;exp;['anger', 'disgust'];negative;@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON
1748;2017-En-20314;exp;['anger', 'disgust'];negative;@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless
1749;2017-En-21344;que;['disgust'];negative;why won't you let me go? do i threaten all your plans? im insignificant
1750;2017-En-20259;oth;['fear', 'joy', 'optimism'];positive;@RJAH_NHS @ChrisHudson76 @mbrandreth #course day # potential Leadership #excited #nervous # proud
1751;2017-En-30299;exp;['joy', 'love', 'optimism'];positive;And the weather so breezy, man why can't life always be this easy
1752;2017-En-11065;sta;['disgust', 'joy'];positive;We floated like butterflies. Now you sting like bees!'
1753;2017-En-20795;exp;['anger', 'disgust'];negative;How is that in 2016, a 757 airplane does not have WiFi...ridiculous.#AmericanAirlines #americanairlinessucks #AATeam #horrible
1754;2017-En-21248;exp;['anger', 'fear'];negative;@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible
1755;2017-En-30619;exp;[];negative;@gatewaypundit Mostly animated audience I'd bet...green sceen folk...the ones that don't need air..!
1756;2017-En-40674;sta;['optimism'];positive;@TweeriaLee A stumbling block to the pessimist is a stepping stone to the optimist.
1757;2017-En-22228;exp;['joy', 'optimism', 'sadness'];negative;Completely blown away by @EvaNoblezada @alistairbrammer @JonJonBriones and the cast of @MissSaigonUK tonight. #fathomevents #speechless #awe
1758;2017-En-22218;que;['fear'];negative;Why does having anxiety drain some much of your energy  #sotired #needtosleepforhours
1759;2017-En-20042;sta;['anger', 'disgust', 'sadness'];negative;@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...
1760;2017-En-21745;sta;['anger', 'disgust', 'fear'];negative;@Justin_Gau @JamesMelville You certainly wouldn't catch me with the multitude. #ghastly
1761;2017-En-22129;sta;['joy', 'optimism', 'sadness'];negative;Idk why but this Time around its so hard that it hurts, I already miss them all so much #silly #family #friends
1762;2017-En-30487;sta;['anticipation', 'joy', 'optimism'];positive;Check out this #film Robocoq 301 #animated #shortfilms
1763;2017-En-31477;exp;['joy', 'optimism', 'surprise'];positive;@crazace76 it looks cool and animated well for pixel art !
1764;2017-En-21841;sta;['anger', 'disgust'];negative;@ClaretNBlues forest gate u could see he was a bully cunt big bald cunt his mates looked in shock when I hit him and didn't do shit when he
1765;2017-En-10560;que;['anger'];negative;"Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?"
1766;2017-En-20327;oth;['fear', 'pessimism'];negative;Overtime... #TeamNA #WCH2016 #nervous
1767;2017-En-10535;exp;['anger', 'joy', 'optimism'];positive;The best #revenge is to move on, get over it, and continue to #succeed. Never give someone the #satisfaction of watching you #suffer....!!!
1768;2017-En-20044;que;['disgust', 'fear'];negative;#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape
1769;2017-En-31426;exp;['anticipation', 'optimism'];positive;I want my highlight to be so bright that if I ever get lost and someone is looking for me in the dark, they'll find me.
1770;2017-En-11208;sta;['anger', 'disgust'];negative;resentment is rlly my shit.
1771;2017-En-21352;sta;['anger', 'disgust'];negative;@dish_answers I've contacted @dish @dish_answers  #service #whathappenedtocustomerservice
1772;2017-En-11497;sta;['anger', 'disgust', 'sadness'];negative;@Claymakerbigsi @toghar11 @scott_mulligan_ @BoxingFanatic_ Fucker blocked me 2 years ago over a question lol - proper holds a grudge old Joe
1773;2017-En-11628;oth;['anger', 'disgust', 'joy', 'optimism'];positive;@Apple thanks for ios10 update, even the best app @telegram freezing and crashing on SE.
1774;2017-En-40465;exp;['fear', 'pessimism'];negative;@delhi_lawyer @BhagwanUvach @ShivAroor sad . This is not film story. Who knows could be ploy to escalate tension. Unverified report no hype
1775;2017-En-10605;sta;['anticipation', 'surprise', 'trust'];negative;My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.
1776;2017-En-21118;que;['anticipation'];negative;should I #start posting #photos?
1777;2017-En-21185;sta;['anger', 'fear', 'sadness'];negative;On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror
1778;2017-En-30645;exp;['joy', 'optimism'];positive;GKN so lively as well, mad quick
1779;2017-En-21091;oth;[];positive;@NativeApprops @SBShear @HuffingtonPost Shew. That was
1780;2017-En-30640;sta;['anticipation', 'joy', 'optimism', 'trust'];positive;backed pats -2.5 10/11 just before #pleasing
1781;2017-En-21576;sta;['disgust', 'surprise'];negative;@TheRachelFisher i've seen a bunch of that on another twitter feed and I remember you had an opinion on it #shocking
1782;2017-En-20062;sta;['fear', 'pessimism', 'sadness'];negative;I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul #panic
1783;2017-En-20813;sug;['anticipation', 'joy', 'optimism'];positive;This maybe a new start but it will always be align with the end.  #forward
1784;2017-En-30517;exp;['joy', 'optimism'];positive;Not my fault if I'm more observant than you thought of me to be ! 😜 I'm not sorry 😝 #wisdom #laughter #observingyou #allthetime #becareful 😎
1785;2017-En-20941;oth;[];neutral;#smackdev #ptp #start word
1786;2017-En-30042;exp;['joy', 'love', 'optimism'];positive;@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  🤗😍
1787;2017-En-31415;exp;['joy', 'love'];positive;@msdhoni #dhoni bcoz of is calmness nd match winning  finishers nd a proud #miltirian #dad#husband nd wonderful humanbeing nd his #smile
1788;2017-En-30416;exp;['joy', 'love', 'optimism'];positive;@ashleynwinters I don't like the statement but I love the optimism
